dialogue_id,target_emotion,target_utterance
6296,neutral,"Oh, no problem. Here's the lid that comes with the pan."
6303,joy,I'm happy to be of assistance.
6305,joy,"O. K. Thanks, Mom!"
6315,joy,You're right. Thank you for the advice.
6322,anger,"Very well, consider me gone."
6324,joy,Thanks for your help.
6342,joy,I'm glad I did too.
6343,joy,All right. I ’ ll see you on Friday.
6372,neutral,"Well, I haven't got much either!"
6380,joy,Thank you so much.
6392,joy,"That will be all. You've been very helpful, thanks."
6395,joy,"We appreciate your business, Ma'am."
6409,joy,You're welcome. Have a nice day!
6412,joy,I would love to.
6414,joy,We appreciate your help.
6433,neutral,I don ’ t need to know anything else. Thank you.
6452,joy,Great! We will send you all the details later. Looking forward to meeting with you!
6470,joy,"Thank you, and I'm sorry for the change of plans."
6487,joy,Eleven o'clock on Friday morning. See you then.
6491,joy,"Thank you, mom. I love you so much!"
6500,anger,"No, don't, I don't want to see you anymore. Don't ever call me again."
6503,neutral,How do you want to your mustache trimmed?
6520,neutral,That ’ ll be all. Thank you very much.
6530,neutral,You should try it. You won't be disappointed.
6539,neutral,Okay. You ’ re hired.
6559,joy,That ’ s wonderful. Thank you.
6560,joy,thank you very much. I ’ m looking forward to hearing from you about this job.
6611,neutral,No. We'll take care of everything.
6612,joy,"sure, it's the ad circled with a red pen in the middle of the classifieds. Good luck!"
6615,neutral,"I know, but I forgot to go to the bathroom before we left."
6616,joy,That's great. You can go take a look.
6634,neutral,That's all. Come here a week later and get your ID card.
6643,joy,Thanks and you too.
6676,joy,Fine. Sleep well yourself.
6684,neutral,"I would like to have a job that is more lively than my present one. Besides, I would like to practise my English in my work. As my present employer deals with China trade towards China only, there isn ’ t much chance to speak English."
6718,joy,Here's your change. Thank you for shopping with us.
6720,joy,"Thank you very much, madam. Here are some samples of our products. Do try them out."
6722,joy,You're welcome. Now smile...
6731,anger,"Get out of my store, you jerk!"
6733,joy,Don ’ t mention it.
6736,joy,I'm glad to hear it.
6755,neutral,That's completely natural. Most of our customers do the same thing. Could you just hold for a moment please? Thank you.
6757,joy,Wonderful! I'll start packing our suitcases.
6793,joy,"I think so. I ’ Ve got the shopping list, so let ’ s go."
6803,joy,You ’ re welcome.
6825,neutral,"Yes, there are. They tell use which way to go and how far we have to walk."
6827,joy,I'll have a good day once this day is over.
6846,neutral,I suppose you need the whiteboard set up.
6866,joy,You're welcome. I hope all of you will have a good time here.
6867,joy,Fabulous! We should look at engagement rings then! Now that ’ s a whole other section.
6872,joy,"I know. It's going to save me a lot of money, I hope."
6894,joy,It's our pleasure. We are always happy to have another satisfied customer. Thanks for calling. Goodbye.
6895,joy,Thank you for making a reservation with us. We look forward to seeing you in April!
6900,joy,"Well, that was fun. Let's do it again soon."
6903,joy,Great! Let ’ s do it!
6935,neutral,We'll have to make sure to come back here again real soon.
6951,joy,"You're very welcome. Here is my card, if you need any help."
6973,joy,All right. this suits my taste best. I'II take It.
6991,joy,Thank you. I'll bring your order right away.
6996,joy,Thank you. I ’ ll be right back.
7002,joy,Good luck and let me know if you need any help later on.
7010,joy,That ’ s very good.
7014,joy,"Sure. If we can get an appointment with someone to do the floors, we should probably be able to have the furniture in here after a week or so. I can get all the carpet out this weekend."
7035,joy,No problem at all.
7038,anger,That ’ s so unfair!
7044,joy,Great. Then call me and let me know if she's free.
7049,neutral,"Yeah, It's only for girls."
7050,joy,"Don't mention it, Larry. What are friends for anyway?"
7058,surprise,"actually, they not only had 11 nominations, but they won 11 Oscars, too!"
7059,joy,Here you go. Thank you very much.
7062,neutral,Personally. I think that people believe they will be healed and that faith causes a change in their mind that cures them. I don ’ t think place is magical in any way.
7069,neutral,I'll have Chicken and Ginger Burger with Chilli Dressing.
7071,neutral,I think that you have covered all the important points already.But if I have any questions later I will contact you.
7082,joy,Thank you. I won ’ t miss it.
7087,joy,Have a pleasant stay.
7090,joy,"OK. Wait for a moment, please."
7101,sadness,"Oh dear, we will miss our train."
7157,joy,"Thank you, and have a great day."
7161,joy,Thank you. Hopefully I won't have to call about him again.
7172,neutral,I support our new President 100 %.
7177,joy,I'm glad to hear it.
7189,neutral,I think I'm going to go buy myself a pair.
7191,joy,Of course. Let's go.
7211,sadness,"If so, I'd better try another store."
7214,joy,"Oh, that's the very thing I need."
7219,joy,Great idea. There is a travel agency nearby who would love to be our sponsor. It's a perfect chance for them to promote ethnic tourism.
7222,neutral,Sounds like it was ment to be.
7232,joy,"Nothing else, thank you."
7235,joy,Thank you. That would be great.
7243,joy,"Okay, it sounds good."
7247,neutral,I guess cooking is not as easy as I thought.
7249,neutral,Talk to you later.
7259,joy,That sounds great. I'll take them.
7269,joy,"Good for you. No problem, I'll listen to the car radio"
7277,neutral,Good! Do you have any questions?
7379,sadness,"Sorry, I couldn ’ t help you."
7397,joy,It ’ s a good thing that you read that ad today.
7406,joy,"Yes, please. I'll really appreciate that."
7408,joy,Thanks a lot. You ’ Ve been very helpful.
7409,neutral,Thank you. We'll inform you in time. Goodbye.
7428,neutral,ok. I ’ ll let you know when I ’ Ve sorted out my clothes.
7434,neutral,"All right, all right. I am ready to go. Let's go!"
7444,joy,Thank you very much. I will let you know as soon as possible.
7455,neutral,All that's left is to cook it.
7460,joy,Wow! You're right! This refrigerator is great. I'll take it.
7463,joy,Thanks. See you at five. Don ’ t forget to bring your valentine.
7464,sadness,"That ’ s not all! I also had to finish writing a sales report for my boss. In the end, I finished everything. I wonder what will be waiting for me tomorrow morning."
7475,neutral,I hope this doesn't happen again.
7482,joy,"Thank you, sir. Have a nice day."
7494,neutral,That's what will keep you from being thirsty.
7495,neutral,"Sorry, you ’ re not on it. I don ’ t think using my brother as a reference would be very convincing!"
7497,joy,Thank you so much for shopping here. Here's your change and receipt.
7542,joy,Great. Thank you very much.
7545,joy,That ’ s good. I ’ d like to see it.
7561,joy,It is a bit expensive. But it is worth buying one's favorite. I will take them.
7575,joy,"That's true. Ok, I will think about it."
7577,joy,Fabulous. I will get the contract ready shortly.
7579,joy,Thank you very much for taking your time. I ’ m still deciding. I will call you tomorrow.
7583,joy,"Beautifully done, many thanks."
7585,neutral,"Would you please give to me, and will imprint it?"
7595,joy,Thank you. Here is the ticket and receipt. Have a good time.
7603,joy,that'd be great! I know he'd appreciate your help.
7604,joy,I'm glad to help.
7606,joy,Thanks for telling me.
7634,neutral,I'll buy it later on today.
7639,joy,I ’ m glad to hear that you finally found an apartment.
7665,anger,"I can wait, but my toothache can't!"
7671,joy,"Oh, that's no problem."
7695,joy,Thank you very much. I ’ ll see you the day after tomorrow.
7705,joy,Thank you. Here you go.
7727,joy,"My pleasure, and have a good time!"
7735,surprise,Fine. Give me the ticket.
7740,neutral,I'll try to speak in another language or I'll try my best to use gestures and draw pictures.
7751,joy,"Well, off we go. I am sure we can have a great time."
7786,neutral,It can help you leave a deep impression on the interviewer.
7788,joy,"Thank you, sir. Have a nice drive!"
7808,joy,It's very nice. I'd like to purchase this refrigerator.
7811,joy,"You are welcome, goodbye."
7834,joy,You are the one I should thank. You've done really great job.
7851,neutral,"OK, let's go and ask."
7889,joy,"No, that should be it. Thank you!"
7905,joy,OK. I'll take one.
7919,joy,"Okay, I will take it into consideration."
7928,neutral,Why don't you make me some oatmeal and toast?
7936,neutral,That ’ s right. Make sure you give the accounts department all your bank account details as soon as possible.
7964,joy,I look forward to having dinner at your restaurant. Thank you for your help.
7966,joy,That's perfect. See you on Saturday.
7973,joy,Thank you very much. Come back to see us.
7974,neutral,It looks like I might have convinced you to go to Australia!
7992,joy,"We'll talk about it next time. Now that everything is settled, let's have a cup of tea, and take our minds off business for a change."
7995,joy,Good idea. I will think it over.
7996,anger,"That's fine, because if I leave, then your rules won't matter."
7997,neutral,"I know he will, too."
8000,joy,You're right. I'll take them all.
8003,joy,"Thanks a million, you are a lifesaver."
8017,joy,"Alright, I'll get it."
8037,joy,"Yeah, sure. Your total is seventy-eight dollars and thirty-three cents. Here is your receipt. Have a nice day."
8055,neutral,I voted for our next President.
8065,joy,Great. It was a pleasure doing business with you.
8067,joy,I used to buy lunch every day from the International food stall at school. Every day was an adventure!
8068,sadness,Sorry I couldn't help you.
8087,joy,Sure. Here you are.
8098,neutral,"Fine, I'll go do that for you."
8113,joy,"Oh, really? Thanks, I ’ m going to do that right now."
8159,neutral,All right. Come in on Friday at 11
8160,joy,I'd be up for that!
8163,neutral,"No problem at all, Mike. Just give me the chance."
8173,neutral,That ’ s fine. Take your time.
8183,sadness,"Oh, that's too bad."
8184,sadness,"You don't have to keep saying that, Yuri. It's not your fault.But me--I'm the one who should be sorry.It was me who suggested operations here in the first place! Oh, what can we do?"
8188,neutral,Just hang on there a sec. Can I get a price check on ” Fun Times Ribbed Condoms ” please!
8215,joy,"Great, do you have any for foreigners? I mean English version?"
8218,neutral,"Good. I'll come back tomorrow, and we can then discuss it more specifically."
8248,joy,"No, that's enough. T hank you."
8251,joy,That will be perfect.
8257,neutral,"They plan to install a printer here. But until then, you'll have to use the lab."
8258,neutral,"They're not cheap, but neither is their furniture."
8263,joy,That's great! Thank you very much.
8266,joy,"thanks, but I'll stick with some jasmine tea. I'm trying to watch my diet."
8303,joy,That's the very thing I want.
8322,joy,Thanks for saying that.
8342,joy,It is my pleasure to have her in my class.
8360,joy,I appreciate your understanding.
8378,neutral,"Well, just because it's you. Tomorrow, say around noon."
8392,anger,That ’ s so unfair!
8398,joy,Thank you! We have really enjoyed our meal here.
8408,joy,I ’ m excited that Barack Obama is our President.
8412,joy,"No problem, just go ask."
8417,joy,You are very welcome.
8467,joy,"Ha! Ha! If you don ’ t make an effort now, later on it ’ ll be a lot tougher for you."
8470,joy,I can ’ t wait to vote.
8494,joy,Umm. yeah! Right! I got the car started! Thanks for your help! I told you to fill the tank!
8497,joy,Exactly! Move your arms in a relaxed manner. Well. don't stretch yourfingers stiffly. Just keep them in a natural shape.
8548,neutral,"No, but she gave me her friend's telephone number. I can call him and make an appointment."
8553,neutral,I think I can work well under pressure.
8575,joy,that's a good idea. I ’ ll look into finding something like that.
8576,joy,The hot drinks first would be great. Thanks!
8578,joy,"No, that ’ s enough, thank you."
8585,joy,"that's OK. I'll try anything once, but sometimes, once is enough!"
8611,joy,"That may be true, but I'm sure you enjoyed your sandwich."
8613,joy,Fabulous! We should look at engagement rings then! Now that ’ s a whole other section.
8638,joy,That ’ s fantastic! You really got me there.
8639,sadness,"Hmm, that is bad."
8668,joy,Wonderful. Thanks very much.
8683,joy,I will. Thanks a lot.
8688,joy,That will be fine. We ’ ll have your meals ready when you arrive. Thank you for your order.
8690,joy,That ’ s fabulous. Thank you very much.
8696,joy,"Have a nice day, and thank you for shopping here."
8726,neutral,"Well, I also have..."
8728,joy,"that ’ s very nice of you to offer. Here ’ s your tea. Be careful, it ’ s still quite hot."
8737,neutral,I promise I'll pay you back as soon as we get home.
8744,neutral,"See, I helped you out."
8745,surprise,Whoa! Who said you got the job?
8754,joy,That would be a good idea.
8759,joy,"if you haven't tried Beijing duck yet, I'd like to treat you to a meal at a famous duck restaurant near Qianmen. It would be a pity if you left without tasting it!"
8761,neutral,What I can tell you is that I voted for our next President of the United States.
8762,joy,I honestly love it.
8766,neutral,Tell me if it's still not working.
8790,neutral,You had champagne for the girl.
8791,neutral,I hope we don't have any more blackouts.
8798,joy,"Me, either! Who decides how much money we get?"
8804,joy,"The leopard print sounds fabulous. OK, I'll take it."
8827,joy,"You are welcome, sir. Good-bye."
8838,joy,"Oh, that's nice. Thank you for arranging all of this."
8839,joy,I am sure I'll enjoy some real chinese food then.
8859,joy,"Tom, this deal promises big returns for both sides. Let's hope it's the beginning of a long and prosperous relationship."
8864,joy,I'm more than happy having her in my class.
8866,joy,"OK, I'll take it."
8869,joy,Wow! You're right! This refrigerator is great. I'll take it.
8878,neutral,Let me know if that doesn't work.
8905,joy,Are you serious this time? That ’ s wonderful news.
8914,neutral,"Yeah, sure. Your total is seventy-eight dollars and thirty-three cents. Here is your receipt. Have a nice day."
8929,joy,Good. Let's shake hands on this successful transaction.
8930,joy,Hope to see you again. We will provide the best service.
8938,surprise,That's amazing! Really? How could it change so much in two days?
8943,joy,Great! You ’ Ve got a deal!
8948,joy,"Have a nice day, Ma ’ am."
8956,neutral,All right. We'll get in touch with our producers and see what they have to say.
8964,joy,No problem. See you this afternoon.
8967,joy,Hum... OK. I will take it.
8974,joy,Here is your receipt.Thank you.
9058,neutral,They produce manifesto. These documents which states their policies. Some people just vote for the same party every time there is an election. Votes who often change the party they vote for are called floating voters.
9063,joy,sounds good. I'll see you then!
9065,joy,All right. I'll see you next time.
9084,joy,"I love you, too, Dad. Bye."
9094,joy,There ’ s you receipt. Goodbye.
9172,joy,That ’ s useful to know. Thanks. I ’ ll just log off and shout down my computer and we can go for a coffee.
9187,joy,It all sounds exquisite! I can't wait!
9212,joy,Thanks! Now I don ’ t need to come back to the shop a second time.
9216,neutral,Maybe we should just wait for the next bus.
9221,neutral,"If you have any more laundry, please just leave it in the laundry bag behind the bathroom door. The laundryman comes to collect it every morning."
9224,neutral,I think that I will.
9239,neutral,got it. I'll start right now.
9244,joy,That's very good advice!
9249,sadness,it ’ s too bad I did all that shopping yesterday!
9266,neutral,"I hate to disappoint you, but unlike what most people think, we aren't all exactly the same!"
9278,joy,I ’ m glad you finally agree.
9280,joy,"Thanks. You have a good one, too."
9286,neutral,thanks for those ideas. I ’ ll get to work on them right away.
9296,joy,Wow! This was a lot easier than I thought!
9313,neutral,Can you repeat all that? I think I'd better write it down.
9329,joy,"I would like my margarita with no salt, thank you."
9359,neutral,"OK, sir. We'll try our best to serve you as soon as possible."
9384,joy,Thanks for reminding me. I had forgotten to get mine.
9407,joy,You're welcome. Enjoy your meal. Press the call button if you need any more help.
9411,joy,Got it. Thanks for calling. Bye.
9416,neutral,I could have stayed in bed for another half hour.
9417,joy,"Here you are, sir. Pay the cashier at the door."
9445,joy,Thank you. I won ’ t miss it.
9455,joy,"Well, I hope that I do well."
9486,joy,I ’ m going to be fine.
9503,neutral,"Oh. In that case, I'll pay cash."
9507,joy,Let ’ s take a few pictures so that we can remember what we like about this home.
9515,joy,"Yes, I did. I had a fine time."
9516,surprise,Recliner? In my beautifully decorated living room? I don ’ t think so!
9522,joy,It was my pleasure.
9524,joy,I think you'll enjoy the food.
9525,joy,No. I won't need to see anything except your driver's license.
9550,neutral,You ’ re welcome. Have a nice trip.
9560,joy,I ’ m glad to hear that.
9561,joy,"Yeah, I guess it's the same in the UK, I just never paid much attention. See you later!"
9566,joy,Congratulations on the new apartment.
9573,neutral,"Okay, then a third one for my husband too."
9576,joy,Thank you very much.
9583,neutral,I like what I see.
9587,joy,Thank you for shopping here.
9592,neutral,That ’ s not my fault.
9593,joy,"Well, really! That was wonderful! I felt no pain at all. Thank you, doctor."
9616,neutral,Maybe. I will look around.
9643,joy,Absolutely. That's why I can always get a good price.
9657,joy,Good luck to you.
9662,anger,I am not convinced by your explanation.
9675,joy,OK. I'll take it.
9686,anger,To hell with you.
9704,neutral,You can get dressed as soon as the film is processed. We will be all done here.
9705,fear,I am happy that you like the house. We should write down what we like so that we can remember it.
9734,joy,Here's your change. Thank you.
9741,neutral,"All right, let me get your meat for you."
9778,neutral,"I am sorry, ma ’ am. Our general manager is not in town. But I ’ d be more than glad to get you our assistant manager, if you like. But I am afraid that he will say the same thing. We have very clear instructions about valuables and we must follow them. And now if you will excuse me, I'll go and find our assistant manager for you."
9802,joy,I hope that I cleared things up for you.
9806,neutral,Let ’ s rock n ’ roll.
9810,neutral,Thank you very much. I will write it right now.
9835,joy,Thanks. Things are going to be different now.
9836,joy,"Thank you very much, Your Honor."
9846,neutral,"Me, too. Now let's make a list for what we need to with us."
9851,neutral,OK. Here you are.
9859,joy,"Thank you very much, sir."
9865,joy,"Now, I've got it. Thank you."
9866,neutral,"That ’ s ok, keep going, you ’ re moving ahead by leaps and bounds. Watch your dynamics! Keep your elbows lifted. Remember to stroke the keys, don ’ t pound. That ’ s better! Remember that as a pianist or any other musician, your technique will be what separates you from the pack just as much or more so as your musicianship."
9873,neutral,"That's right. I could stand to lose a few pounds, too."
9891,surprise,So there is something wrong with her! It was beginning to sound like she was too good to be true!
9899,neutral,I'll have to write you a ticket and suspend your driver's license for 3 months.
9910,joy,OK. I'll take it.
9912,joy,Thank you very much.
9921,neutral,Alright. Have a nice trip.
9925,joy,Now we get along very well. It makes me feel that I'm someone special.
9956,joy,"Thanks, ma ’ am. You ’ re a lifesaver!"
9964,joy,"Thank you for your kindness, ma'am. See you next Monday."
9973,joy,That's fine. OK. Thanks.
9991,neutral,"Okay. I will begin working on it now, if you ’ d like."
10011,joy,Thank you. See you.
10013,joy,I ’ m glad you understand.
10015,neutral,"It ’ s a traditional Scottish delicacy ; you take sheep ’ s liver, heart and lung and stuff it inside of the sheep ’ s stomach."
10028,sadness,I know. I am sorry that I yelled at you.
10030,neutral,"Yes, that ’ s right, you have the job now."
10037,joy,There are so many ancient relics in China.
10043,surprise,You ’ re kidding! I ’ m on! Where do I sign up?
10054,joy,You ’ re welcome.
10061,neutral,You should be excited about your first vote.
10069,joy,"Thank you, have a good day."
10086,joy,Thanks very much. I promise I will work harder.
10090,neutral,why does that cop car behind me have its red lights on?
10109,joy,That's great. Thank you very much.
10125,joy,Thank you for calling us. We'll be expecting you next Monday.
10136,joy,It absolutely was a great meal. We'll have to return here for lunch sometime.
10137,joy,You ’ re welcome.
10152,neutral,"Thank you, Doctor. Goodbye."
10160,joy,"Yes, that's great. Thanks."
10167,joy,"You're welcome, and I apologize for the inconvenience."
10181,neutral,What would you do without me?
10185,joy,"I love you, happy anniversary."
10189,joy,"Thanks for the warning, Mom."
10196,neutral,That ’ s the best I can do.
10197,neutral,Thank you very much. Hope to see you again.
10202,joy,You're welcome. Turn the application in at Window B.
10212,neutral,When can I wear perfume?
10215,joy,That sounds like a plan to me.
10222,joy,"It was nice to meet you, too. And thanks for coming in today."
10226,neutral,Your daughter should get straight A's from now on. Good-bye.
10244,joy,Wow! You're right! This refrigerator is great. I'll take it.
10255,joy,Thank you so much.
10263,anger,"I just told you, Debbie. I tried to call you twenty times!"
10281,neutral,That ’ s really not my problem.
10283,neutral,Perhaps I should have a try.
10288,joy,"Indeed, you're exactly right!"
10290,joy,It's no trouble at all.
10319,joy,All right! Thank you.
10322,neutral,I hope you haven ’ t invited any vegetarians.
10329,joy,Don ’ t mention it.
10332,neutral,Ok. I ’ ll let you know when I ’ Ve sorted out my clothes.
10334,joy,"Anyway, we are arriving at Danshui soon. I can't wait to watch the beautiful sunset."
10350,neutral,"Trust me, regular tune ups will keep your car running smoothly and avoid break downs."
10353,joy,"Oh, the smelly bean curd. My favorite!"
10362,joy,"Thank you, thank you, thanks again."
10397,neutral,"Just joking, T. I've got some wonderful clothes. Let's go and have a close look at your outfit."
10408,joy,"Thanks for calling, Blanca. I'll see you tomorrow."
10435,joy,Thanks for letting me know.
10444,neutral,"Your order will be ready soon, thank you for calling."
10460,neutral,So remember to set your alarm clock.
10469,joy,OK. Let ’ s go!
10496,joy,Thank you very much.
10501,joy,I really appreciate all your help.
10512,neutral,"I ’ ll have apple pie too, but without ice cream. I have to watch my weight."
10520,neutral,"Well, I'll take them."
10543,joy,"Yeah, it sure would."
10558,joy,"All right, see you."
10570,neutral,I ’ ll be paying with cash.
10576,joy,they look delicious. I think she'll be pleased.
10585,neutral,Please do. I'll be waiting for your reply.
10589,neutral,Most of them in this store are from Mexico.
10591,joy,Thank you. That's a good idea. she likes exciting books. Can you suggest another one?
10599,neutral,"In my mind, salary is not the most important thing."
10602,joy,"thanks, I will. I'll see you tomorrow then!"
10609,neutral,I ’ ll hire you anyway.
10622,neutral,"Oh, you have too wild of an imagination."
10628,joy,"Let me repeat that 626-555-1739. Okay, sir, we look forward to seeing you in April!"
10640,neutral,"O. K., thanks, doctor."
10652,joy,"Thank you, sir. Just a moment, please."
10659,joy,"Thank you, Madam. Have a nice drive!"
10665,joy,See you then. Goodbye.
10677,joy,I assure you that you're paying for quality.
10718,neutral,"Dear Mom, please permit of superman's naughty."
10725,surprise,Ten kg! Dear Shirley must have put a lead ball in it!
10738,joy,OK. Please wait for s while. We'll get it done quickly!
10760,joy,now we get along very well. It makes me feel that I'm someone special.
10805,joy,"Have a nice day, Ma ’ am."
10810,neutral,I ’ ll tell you all you need to know.
10830,joy,Nah! It was cheap!
10847,neutral,No constipation. Everything seems OK.
10853,joy,Thanks a lot. Keep the change.
10863,joy,"All right, see you."
10864,neutral,"In a word, any impolite behavior should be avoided in the listening."
10873,neutral,You ’ re welcome. Good-Bye.
10875,joy,Oh. What good is that? I thought it gave you free money.
10882,joy,All right. I'll bring your soup right away.
10897,joy,No problem. Thank you for being so understanding.
10905,joy,Have a nice day and thanks you for calling Dutton Hotels.
10907,anger,"Oh, yes. I get six Korean channels but nothing in English!"
10922,neutral,That ’ s it for today. Thank you.
10926,neutral,OK.Here is your change.The train leaves on platform 8.
10929,neutral,Yes. Shall I get one for you? Just push the button over there if you need anything.
10930,neutral,We will be there! Thanks for the help!
10948,joy,Thanks for all your help.
10949,joy,"It will give rise to occasional insomnia. OK, let's enjoy the tea before it gets cold."
10970,joy,Thank you for all your patience.
11007,neutral,No. I only need to check your driver's license.
11014,joy,Here is your receipt.Thank you.
11021,joy,It's no problem at all.
11054,joy,Great. See you then.
11057,neutral,I no longer need to worry about what will happen with this country.
11060,joy,All right. Thanks for your help.
11077,joy,I hope you enjoy your dinner.
11078,joy,I really appreciate your help.
11083,joy,"that will be all. You're been very helpful, thanks."
11099,sadness,"Can I have the ticket, please?"
11111,joy,Thanks very much. I appreciate it.
